issue,object id, formatted id, wsapi todo, 'current' snapshot todo, wsapi state, current snapshot state, current snapshot _ValidFrom
current snapshot values do not match wsapi ,48687176469,TA183197,0,60,Completed,In-Progress,2016-09-08T20:42:10.412Z
current snapshot values do not match wsapi ,48687177092,TA183198,0,60,Completed,In-Progress,2016-09-08T20:42:10.902Z
current snapshot values do not match wsapi ,48687178723,TA183200,0,80,Completed,Defined,2016-09-08T20:42:11.937Z
current snapshot values do not match wsapi ,52738962205,TA198530,0,8,Completed,In-Progress,2016-09-08T20:49:00.686Z
current snapshot values do not match wsapi ,54396068815,TA205740,0,80,Completed,In-Progress,2016-09-08T20:53:12.651Z
current snapshot values do not match wsapi ,54396875046,TA205754,0,80,Completed,Defined,2016-09-08T20:53:16.168Z
current snapshot values do not match wsapi ,54507434562,TA206616,0,64,Completed,In-Progress,2016-09-08T20:55:34.703Z
current snapshot values do not match wsapi ,54513996400,TA206686,0,200,Completed,In-Progress,2016-09-28T04:54:16.663Z
current snapshot values do not match wsapi ,54514005614,TA206689,0,120,Completed,In-Progress,2016-09-28T04:59:08.138Z
current snapshot values do not match wsapi ,54552426770,TA206866,0,80,Completed,In-Progress,2016-09-08T20:56:17.666Z
current snapshot values do not match wsapi ,54585789026,TA207018,0,22,Completed,In-Progress,2016-10-11T18:04:33.922Z
current snapshot values do not match wsapi ,54585936831,TA207021,0,20,Completed,In-Progress,2016-10-11T18:04:35.898Z
current snapshot values do not match wsapi ,54675784829,TA207555,0,0,Completed,In-Progress,2016-10-11T18:04:26.670Z
current snapshot values do not match wsapi ,54675788229,TA207556,0,16,Completed,In-Progress,2016-10-11T18:04:28.863Z
current snapshot values do not match wsapi ,54675788895,TA207557,0,32,Completed,In-Progress,2016-10-11T18:04:30.228Z
current snapshot values do not match wsapi ,55372449156,TA210226,0,6,Completed,In-Progress,2016-09-08T21:01:52.217Z
current snapshot values do not match wsapi ,56003780154,TA212315,0,60,Completed,In-Progress,2016-09-08T21:04:20.321Z
current snapshot values do not match wsapi ,58267921701,TA219612,0,80,Completed,In-Progress,2016-09-08T21:16:43.608Z
current snapshot values do not match wsapi ,58685161983,TA221098,0,80,Completed,In-Progress,2016-09-08T21:19:05.427Z
current snapshot values do not match wsapi ,59706635722,TA224354,80,80,In-Progress,Defined,2016-10-03T19:11:45.545Z
current snapshot values do not match wsapi ,59707064310,TA224369,null,0,In-Progress,Defined,2016-10-05T16:46:07.402Z
current snapshot values do not match wsapi ,59707065642,TA224370,null,0,In-Progress,Defined,2016-10-05T16:46:08.117Z
